ranking_risco_meta,id_municipio,id_municipio_nome,sigla_uf,alunos,historico_2023,meta_2024,taxa_prevista_2024,gap_previsto,alerta_nao_atingir,taxa_observada_2024,gap_observado,nao_atingiu_observado,probabilidade_media_risco
297,2613305,São Joaquim do Monte,PE,233,68.5,70.35,69.18895806763811,1.1610419323618828,True,72.1030042918455,-1.7530042918454996,False,0.3081104193236188
298,3125507,São Gonçalo do Rio Preto,MG,29,80.13,80.0,78.84033522170837,1.1596647782916278,True,82.75862068965517,-2.7586206896551744,False,0.2115966477829163
299,2605509,Ferreiros,PE,82,58.16,61.78,60.62431535165148,1.1556846483485188,True,41.46341463414634,20.316585365853662,True,0.3937568464834852
300,4100707,Alto Piquiri,PR,125,74.73,75.54,74.4886442638906,1.0513557361094001,True,64.8,10.740000000000009,True,0.255113557361094
301,4121703,Reserva,PR,301,72.87,73.98,72.94412968076297,1.0358703192370342,True,81.06312292358804,-7.083122923588036,False,0.2705587031923703
302,3143807,Munhoz,MG,91,77.93,78.23,77.21096136699066,1.0190386330093446,True,82.41758241758241,-4.187582417582405,False,0.2278903863300934
303,2928000,Santaluz,BA,199,25.08,32.3,31.30756424768727,0.9924357523127263,True,29.145728643216078,3.1542713567839193,True,0.6869243575231273
304,2403905,Francisco Dantas,RN,19,45.0,50.65,49.71978255200593,0.9302174479940675,True,78.94736842105263,-28.29736842105263,False,0.5028021744799407
305,3301504,Cordeiro,RJ,188,59.21,62.66,61.76356952733934,0.8964304726606542,True,64.8936170212766,-2.2336170212766007,False,0.3823643047266065
306,4107405,Enéas Marques,PR,66,83.61,80.0,79.12885284389847,0.8711471561015287,True,86.36363636363636,-6.36363636363636,False,0.2087114715610152
307,4203709,Canelinha,SC,79,59.28,62.709995,61.88366419052104,0.8263308094789608,True,43.0379746835443,19.6720203164557,True,0.3811633580947896
308,4103909,Campina da Lagoa,PR,227,80.15,80.0,79.1766024400017,0.8233975599982983,True,77.97356828193833,2.026431718061673,True,0.2082339755999831
309,5214408,Nazário,GO,94,79.0,79.15,78.32773687350902,0.8222631264909808,True,84.04255319148936,-4.892553191489355,False,0.2167226312649097
310,5205109,Catalão,GO,951,64.88,67.35,66.55285951594085,0.7971404840591418,True,76.8664563617245,-9.516456361724508,False,0.3344714048405914
311,4119707,Planaltina do Paraná,PR,45,79.79,79.82,79.0310065596517,0.7889934403482926,True,80.0,-0.18000000000000682,False,0.209689934403483
312,5201207,Anhanguera,GO,16,80.0,80.0,79.2142119247793,0.7857880752206938,True,81.25,-1.25,False,0.2078578807522069
313,2928950,São Domingos,BA,51,25.27,32.49,31.71546000296979,0.7745399970302103,True,52.94117647058824,-20.451176470588237,False,0.682845399970302
314,2105708,Lago da Pedra,MA,410,92.18,80.0,79.27176428544111,0.7282357145588918,True,79.75609756097562,0.24390243902438158,True,0.2072823571455889
315,2109809,Santa Helena,MA,200,57.13,60.93,60.21759585563932,0.7124041443606828,True,72.5,-11.57,False,0.3978240414436068
316,5002209,Bonito,MS,398,53.37,57.78,57.12928361460581,0.6507163853941904,True,59.04522613065326,-1.2652261306532608,False,0.4287071638539418
317,2205565,Lagoa do Barro do Piauí,PI,81,55.670002,59.709995,59.06689002776378,0.6431049722362161,True,59.25925925925925,0.45073574074074685,True,0.4093310997223621
318,2207405,Palmeira do Piauí,PI,36,70.83,72.28,71.6398486962915,0.6401513037085067,True,72.22222222222221,0.05777777777778681,True,0.283601513037085
319,4211801,Ouro,SC,59,72.58,73.74,73.10934600560142,0.6306539943985712,True,83.05084745762711,-9.31084745762712,False,0.2689065399439858
320,2609600,Olinda,PE,2716,59.570004,62.95,62.348428173970014,0.6015718260299892,True,62.48159057437408,0.46840942562592147,True,0.3765157182602998
321,4107751,Figueira,PR,92,82.1,80.0,79.41013545125787,0.5898645487421277,True,77.17391304347827,2.826086956521735,True,0.2058986454874213
322,2204501,Guadalupe,PI,128,48.9,54.0,53.46223567830181,0.5377643216981909,True,67.96875,-13.96875,False,0.4653776432169819
323,5211909,Jataí,GO,1147,64.01,66.63,66.0996479131202,0.5303520868798017,True,70.18308631211858,-3.5530863121185803,False,0.339003520868798
324,2602704,Buenos Aires,PE,124,62.99,65.79,65.29124271523014,0.4987572847698658,True,85.48387096774194,-19.69387096774193,False,0.3470875728476985
325,3521002,Iperó,SP,380,40.9,47.07,46.57240229337433,0.49759770662566893,True,44.21052631578947,2.8594736842105277,True,0.5342759770662566
326,2311355,Quixelô,CE,154,79.3,79.4,78.92295584733614,0.4770441526638649,True,88.31168831168831,-8.911688311688309,False,0.2107704415266386
327,5006200,Nova Andradina,MS,654,58.38,61.969997,61.5201440279313,0.44985297206869745,True,69.72477064220183,-7.754773642201833,False,0.384798559720687
328,2103000,Caxias,MA,1394,43.75,49.57,49.12061853366241,0.44938146633759146,True,55.4519368723099,-5.8819368723099,False,0.5087938146633759
329,2110039,Santa Luzia do Paruá,MA,243,93.66,80.0,79.59231831887503,0.40768168112496994,True,86.0082304526749,-6.008230452674894,False,0.2040768168112496
330,3553203,Taiúva,SP,61,68.12,70.03,69.62394406157577,0.40605593842423104,True,57.377049180327866,12.652950819672135,True,0.3037605593842423
331,2204709,Inhuma,PI,122,55.39,59.47,59.06689002776378,0.4031099722362157,True,67.21311475409836,-7.743114754098357,False,0.4093310997223621
332,1707652,Figueirópolis,TO,62,62.36,65.27,64.8770035216599,0.39299647834009477,True,51.61290322580645,13.657096774193548,True,0.3512299647834009
333,4219002,Urussanga,SC,216,67.225,70.65,70.2769632167938,0.3730367832062029,True,70.83333333333334,-0.18333333333333712,False,0.2972303678320619
334,5212303,Leopoldo de Bulhões,GO,87,77.67,78.01,77.63796618169408,0.37203381830592264,True,75.86206896551724,2.1479310344827667,True,0.2236203381830591
335,3529708,Miguelópolis,SP,155,64.31,66.88,66.55946459971383,0.3205354002861611,True,30.967741935483872,35.912258064516124,True,0.3344053540028616
336,4203907,Capinzal,SC,283,72.28,73.49,73.17888962569326,0.31111037430673605,True,69.96466431095406,3.5253356890459315,True,0.2682111037430674
337,1715150,Novo Alegre,TO,24,71.67,72.98,72.6709357696817,0.3090642303182989,True,70.83333333333334,2.146666666666661,True,0.273290642303183
338,3143500,Morada Nova de Minas,MG,76,86.32,80.0,79.73229621706463,0.2677037829353708,True,64.47368421052632,15.526315789473685,True,0.2026770378293537
339,1705508,Colinas do Tocantins,TO,442,51.01,55.79,55.526525336146626,0.2634746638533727,True,55.88235294117647,-0.09235294117647186,False,0.4447347466385337
